time,reason,drive_state,motion_enabled,depth_emergency,avoidance_offset,avoidance_offset_filtered,lane_offset,lane_offset_filtered,lane_valid,closest_idx,current_mean_curvature,current_max_curvature,target_v,prev_v,prev_delta
1781736706.026,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736706.106,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736706.187,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736706.279,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736706.346,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736706.426,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736706.506,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736706.586,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736706.667,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736706.749,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736706.826,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736706.907,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736706.986,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736707.066,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
1781736707.146,motion_disabled,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,4,1.4900,2.1763,0.0000,0.0000,0.0000
