t,tf_t,x,y,theta,yaw_deg,reason
1781809873.062485,1781809873.017082,-3.093931,2.404167,-1.409871,-80.780,distance
1781809873.312518,1781809873.267355,-3.089307,2.382600,-1.376947,-78.893,distance
1781809873.862490,1781809873.817782,-3.088205,2.377093,-1.368777,-78.425,time
1781809874.112490,1781809874.067122,-3.083158,2.353910,-1.337308,-76.622,distance
1781809874.362544,1781809874.318403,-3.071243,2.335213,-1.298215,-74.382,distance
1781809874.712745,1781809874.667130,-3.064120,2.314537,-1.271804,-72.869,distance
1781809874.962525,1781809874.917202,-3.057310,2.293268,-1.242741,-71.204,distance
1781809875.162445,1781809875.117074,-3.048980,2.273824,-1.220914,-69.953,distance
1781809875.412335,1781809875.367155,-3.041884,2.254991,-1.194702,-68.451,distance
1781809875.712476,1781809875.667166,-3.031038,2.235441,-1.165924,-66.802,distance
1781809875.962492,1781809875.917132,-3.022145,2.215322,-1.137424,-65.170,distance
1781809876.212425,1781809876.167292,-3.010018,2.197761,-1.109875,-63.591,distance
1781809876.462436,1781809876.417203,-3.000311,2.178753,-1.081214,-61.949,distance
1781809876.812423,1781809876.767334,-2.993393,2.159881,-1.044341,-59.836,distance
1781809877.112355,1781809877.067210,-2.980777,2.143849,-1.007220,-57.709,distance
1781809877.362402,1781809877.317138,-2.969167,2.125985,-0.975212,-55.876,distance
1781809877.612386,1781809877.567257,-2.958990,2.108631,-0.952074,-54.550,distance
1781809877.912462,1781809877.867096,-2.945002,2.089509,-0.920611,-52.747,distance
1781809878.162347,1781809878.117093,-2.933999,2.069580,-0.890950,-51.048,distance
1781809878.362400,1781809878.317284,-2.921084,2.053933,-0.862597,-49.423,distance
1781809878.562499,1781809878.517220,-2.911687,2.036071,-0.831382,-47.635,distance
1781809878.862358,1781809878.817096,-2.894542,2.019266,-0.799389,-45.802,distance
1781809879.212546,1781809879.167200,-2.878231,2.002895,-0.770473,-44.145,distance
1781809879.412345,1781809879.367187,-2.863718,1.989100,-0.741692,-42.496,distance
1781809879.562433,1781809879.517093,-2.848296,1.975470,-0.716132,-41.031,distance
1781809879.762452,1781809879.717360,-2.832156,1.961225,-0.683030,-39.135,distance
1781809880.162357,1781809880.117099,-2.816366,1.947230,-0.653224,-37.427,distance
1781809880.462449,1781809880.417394,-2.799968,1.935114,-0.623924,-35.748,distance
1781809880.662392,1781809880.617103,-2.782973,1.923134,-0.595952,-34.146,distance
1781809881.112391,1781809881.067136,-2.764793,1.909337,-0.564431,-32.339,distance
1781809881.312679,1781809881.267151,-2.746466,1.897989,-0.538287,-30.842,distance
1781809881.612394,1781809881.567091,-2.728694,1.884776,-0.502971,-28.818,distance
1781809881.865427,1781809881.817218,-2.710613,1.875479,-0.478004,-27.388,distance
