t,tf_t,x,y,theta,yaw_deg,reason
1781701480.428407,1781701480.392292,-1.406407,4.924888,-2.554465,-146.360,distance
1781701480.728374,1781701480.691522,-1.422394,4.911041,-2.531423,-145.040,distance
1781701481.028362,1781701480.991526,-1.436867,4.897000,-2.508905,-143.750,distance
1781701481.328858,1781701481.291478,-1.454480,4.883853,-2.488269,-142.567,distance
1781701481.732040,1781701481.691008,-1.472458,4.871625,-2.462589,-141.096,distance
1781701482.028425,1781701481.991208,-1.489686,4.857481,-2.442016,-139.917,distance
1781701482.328363,1781701482.293810,-1.507793,4.845302,-2.422999,-138.828,distance
1781701482.628383,1781701482.591137,-1.525572,4.829450,-2.399044,-137.455,distance
1781701482.928393,1781701482.891646,-1.540449,4.812010,-2.378853,-136.298,distance
1781701483.278363,1781701483.241048,-1.554833,4.797919,-2.360506,-135.247,distance
1781701483.528422,1781701483.491811,-1.569684,4.782952,-2.339188,-134.026,distance
1781701483.828525,1781701483.791208,-1.585563,4.766148,-2.308937,-132.292,distance
1781701484.078554,1781701484.041265,-1.599223,4.750839,-2.285373,-130.942,distance
1781701484.328501,1781701484.291106,-1.612613,4.734428,-2.268048,-129.950,distance
1781701484.678407,1781701484.641468,-1.625771,4.718429,-2.247672,-128.782,distance
1781701484.978396,1781701484.941584,-1.640480,4.699748,-2.223379,-127.390,distance
1781701485.178494,1781701485.141847,-1.656489,4.685378,-2.205708,-126.378,distance
1781701485.478422,1781701485.441052,-1.670291,4.666219,-2.180359,-124.925,distance
1781701485.778420,1781701485.741306,-1.683395,4.650628,-2.159568,-123.734,distance
1781701486.128373,1781701486.091284,-1.695929,4.631470,-2.137904,-122.493,distance
1781701486.378479,1781701486.341108,-1.706384,4.612662,-2.118224,-121.365,distance
1781701486.628505,1781701486.591236,-1.717736,4.591037,-2.094746,-120.020,distance
1781701486.878692,1781701486.841304,-1.728444,4.572081,-2.070687,-118.642,distance
1781701487.178402,1781701487.141378,-1.736371,4.550584,-2.052975,-117.627,distance
1781701487.478393,1781701487.441207,-1.745654,4.532497,-2.033770,-116.526,distance
1781701487.878367,1781701487.842081,-1.754554,4.511514,-2.002740,-114.749,distance
1781701488.130471,1781701488.091444,-1.762870,4.493052,-1.980440,-113.471,distance
1781701488.678354,1781701488.641493,-1.764829,4.491917,-1.981297,-113.520,time
1781701489.178466,1781701489.141249,-1.764829,4.491917,-1.981143,-113.511,time
1781701489.678673,1781701489.642425,-1.765939,4.489363,-1.978266,-113.346,time
1781701489.978402,1781701489.941245,-1.774123,4.470223,-1.972872,-113.037,distance
1781701490.278470,1781701490.242357,-1.782410,4.450695,-1.971083,-112.935,distance
1781701490.478820,1781701490.441346,-1.788402,4.429104,-1.968410,-112.782,distance
1781701490.728402,1781701490.691032,-1.797652,4.406669,-1.966161,-112.653,distance
1781701490.978431,1781701490.941355,-1.805417,4.388011,-1.963761,-112.515,distance
1781701491.428512,1781701491.391331,-1.812276,4.367919,-1.955771,-112.057,distance
1781701491.678453,1781701491.641203,-1.820159,4.348408,-1.953444,-111.924,distance
1781701491.979033,1781701491.941154,-1.831766,4.325935,-1.955313,-112.031,distance
1781701492.228380,1781701492.191625,-1.839914,4.306072,-1.952394,-111.864,distance
1781701492.528364,1781701492.493166,-1.848037,4.285740,-1.948625,-111.648,distance
1781701492.828408,1781701492.796303,-1.853743,4.263257,-1.947782,-111.600,distance
1781701493.128492,1781701493.093419,-1.862051,4.242178,-1.943804,-111.372,distance
1781701493.528578,1781701493.491065,-1.868621,4.219620,-1.919989,-110.007,distance
1781701493.978372,1781701493.941068,-1.876364,4.197648,-1.895945,-108.630,distance
1781701494.278493,1781701494.241340,-1.882842,4.177484,-1.873289,-107.332,distance
1781701494.578441,1781701494.541301,-1.889580,4.155051,-1.848513,-105.912,distance
1781701494.828440,1781701494.791509,-1.895844,4.133958,-1.842878,-105.589,distance
1781701495.078413,1781701495.041340,-1.902172,4.112849,-1.842366,-105.560,distance
1781701495.328434,1781701495.291088,-1.907531,4.093504,-1.838874,-105.360,distance
1781701495.678409,1781701495.641199,-1.911524,4.071850,-1.818121,-104.171,distance
